Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-04-28,-0.45,1452.43005371094,6.21400022506714,171.2,4759.3,3.9,-30438,43.53,1,-0.00852605593458677,-0.0114479811393984,0,0,0,-0.45,
2000-04-29,-0.45,1452.43005371094,6.21400022506714,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0114479811393984,0,0,0,-0.45,
2000-04-30,-0.45,1452.43005371094,6.21400022506714,171.2,4759.3,3.9,-30438,43.53,1,0,-0.0114479811393984,0,0,0,-0.45,
2000-05-01,-0.44,1468.25,6.25500011444092,171.3,4759.1,4.1,-31036,41.96,1,0.0108920538022763,-0.00068061936361985,-0.0196464945134372,-0.0196464945134372,0.00163720787611976,-0.498411214953291,
2000-05-02,-0.4,1446.2900390625,6.31199979782105,171.3,4759.1,4.1,-31036,41.96,1,-0.0149565543589307,-0.0156269940020408,0,-0.0196464945134372,0.00327441575223952,-0.458411214953291,
2000-05-03,-0.33,1415.09997558594,6.40299987792969,171.3,4759.1,4.1,-31036,41.96,1,-0.0215655661272343,-0.0368555551567542,0,-0.0196464945134372,0.00491162362835929,-0.388411214953291,
2000-05-04,-0.31,1409.56994628906,6.44600009918213,171.3,4759.1,4.1,-31036,41.96,1,-0.00390787180572538,-0.0406194001775981,0,-0.0196464945134372,0.00654883150447905,-0.368411214953291,
2000-05-05,-0.33,1432.63000488281,6.50699996948242,171.3,4759.1,4.1,-31036,41.96,1,0.0163596412185572,-0.0249242777724595,0,-0.0196464945134372,0.00818603938059881,-0.388411214953291,
2000-05-06,-0.33,1432.63000488281,6.50699996948242,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0249242777724595,0,-0.0196464945134372,0.00982324725671857,-0.388411214953291,
2000-05-07,-0.33,1432.63000488281,6.50699996948242,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0249242777724595,0,-0.0196464945134372,0.0114604551328383,-0.388411214953291,
2000-05-08,-0.3,1424.17004394531,6.55999994277954,171.3,4759.1,4.1,-31036,41.96,1,-0.00590519597430328,-0.0306822910019985,0,-0.0196464945134372,0.0130976630089581,-0.358411214953291,
2000-05-09,-0.33,1412.14001464844,6.52400016784668,171.3,4759.1,4.1,-31036,41.96,1,-0.0084470455954464,-0.0388701618863783,0,-0.0196464945134372,0.0147348708850779,-0.388411214953291,
2000-05-10,-0.37,1383.05004882813,6.43699979782105,171.3,4759.1,4.1,-31036,41.96,1,-0.0205999160979478,-0.058669355910753,0,-0.0196464945134372,0.0163720787611976,-0.428411214953291,
2000-05-11,-0.39,1407.81005859375,6.40700006484985,171.3,4759.1,4.1,-31036,41.96,1,0.0179024683789313,-0.0418172138208262,0,-0.0196464945134372,0.0180092866373174,-0.448411214953291,
2000-05-12,-0.4,1420.9599609375,6.4980001449585,171.3,4759.1,4.1,-31036,41.96,1,0.00934067935051219,-0.0328671356559461,0,-0.0196464945134372,0.0196464945134371,-0.458411214953291,
2000-05-13,-0.4,1420.9599609375,6.4980001449585,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0328671356559461,0,0,0.0180092866373174,-0.4,
2000-05-14,-0.4,1420.9599609375,6.4980001449585,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0328671356559461,0,0,0.0163720787611976,-0.4,
2000-05-15,-0.41,1452.35998535156,6.45900011062622,171.3,4759.1,4.1,-31036,41.96,1,0.0220977545302161,-0.0114956710215665,0,0,0.0147348708850779,-0.41,
2000-05-16,-0.46,1466.0400390625,6.40199995040894,171.3,4759.1,4.1,-31036,41.96,1,0.00941918935313146,-0.00218476157052838,0,0,0.0130976630089581,-0.46,
2000-05-17,-0.42,1447.80004882813,6.46299982070923,171.3,4759.1,4.1,-31036,41.96,1,-0.0124416726340155,-0.0145992521163,0,0,0.0114604551328383,-0.42,
2000-05-18,-0.37,1437.2099609375,6.5460000038147,171.3,4759.1,4.1,-31036,41.96,1,-0.00731460666767958,-0.0218070709971065,0,0,0.00982324725671857,-0.37,
2000-05-19,-0.35,1406.94995117188,6.51100015640259,171.3,4759.1,4.1,-31036,41.96,1,-0.0210546897030175,-0.0424026195869482,0,0,0.00818603938059881,-0.35,
2000-05-20,-0.35,1406.94995117188,6.51100015640259,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0424026195869482,0,0,0.00654883150447905,-0.35,
2000-05-21,-0.35,1406.94995117188,6.51100015640259,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0424026195869482,0,0,0.00491162362835929,-0.35,
2000-05-22,-0.37,1400.71997070313,6.42000007629395,171.3,4759.1,4.1,-31036,41.96,1,-0.00442800432493062,-0.0466428649289595,0,0,0.00327441575223952,-0.37,
2000-05-23,-0.38,1373.85998535156,6.44600009918213,171.3,4759.1,4.1,-31036,41.96,1,-0.0191758423620386,-0.0649242910658066,0,0,0.00163720787611976,-0.38,
2000-05-24,-0.32,1399.05004882813,6.45900011062622,171.3,4759.1,4.1,-31036,41.96,1,0.0183352479474948,-0.0477794460928187,0,0,0,-0.32,
2000-05-25,-0.32,1381.52001953125,6.37200021743774,171.3,4759.1,4.1,-31036,41.96,1,-0.0125299515278661,-0.0597107234771135,0,0,0,-0.32,
2000-05-26,-0.36,1378.02001953125,6.32000017166138,171.3,4759.1,4.1,-31036,41.96,1,-0.00253344139101763,-0.0620928912497866,0,0,0,-0.36,
2000-05-27,-0.36,1378.02001953125,6.32000017166138,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0620928912497866,0,0,0,-0.36,
2000-05-28,-0.36,1378.02001953125,6.32000017166138,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0620928912497866,0,0,0,-0.36,
2000-05-29,-0.36,1378.02001953125,6.32000017166138,171.3,4759.1,4.1,-31036,41.96,1,0,-0.0620928912497866,0,0,0,-0.36,
2000-05-30,-0.36,1422.44995117188,6.36700010299683,171.3,4759.1,4.1,-31036,41.96,1,0.0322418622450336,-0.0318530194508245,0,0,0,-0.36,
2000-05-31,-0.4,1420.59997558594,6.28499984741211,171.3,4759.1,4.1,-31036,41.96,1,-0.00130055583636768,-0.0331121486568395,0,0,0,-0.4,
2000-06-01,-0.41,1448.81005859375,6.19500017166138,172.3,4776.8,4,-30618,42.78,1,0.019857865333397,-0.0139118199123696,0.0134682304420673,0.0134682304420673,-0.00112235253683894,-0.993771161704605,
